1|황금빛 태양|日의 네모 안 가로선을 햇살 한 줄로 연결하자. 해가 한 번 뜨고 지면 하루, 날 일!|日記(일기): 하루(日)의 일을 기록(記)한 글.|休日(휴일): 쉬는(休) 날(日).|a huge golden sun with molten radiant rays
2|은빛 초승달|길쭉한 月을 휜 달의 창으로 보자. 안의 두 획은 달빛 두 줄, 달 월!|月光(월광): 달(月)의 빛(光).|滿月(만월): 가득 찬(滿) 둥근 달(月).|a silver crescent moon with luminous craters
3|노을빛 초승달|月보다 안쪽 획이 하나 적은 夕. 해가 저물어 빛 한 줄만 남은 저녁으로 연결하자.|夕陽(석양): 저녁(夕)의 해(陽).|秋夕(추석): 가을(秋) 저녁(夕), 음력 팔월 보름 명절.|an orange half moon glowing with sunset colors
4|빛을 뿜는 별|辰의 아래로 뻗는 획을 별빛 꼬리로 상상하자. 별 진, 별빛이 진하게 반짝!|星辰(성진): 별 성(星)과 별 진(辰), 여러 별을 이르는 말.|日月星辰(일월성신): 해·달·별. 이 말의 辰은 관용적으로 신으로 읽는다.|a brilliant sapphire star with long radiant tails
5|기운이 솟는 사람|氣 위쪽의 흐르는 획을 몸에서 솟는 기운으로 보자. 깊이 숨 쉬자 기운 기!|氣力(기력): 활동하는 기운(氣)과 힘(力).|空氣(공기): 비어 보이는 공간(空)을 채운 기체(氣).|an energetic athlete radiating turquoise vapor
6|휘몰아치는 회오리|風의 바깥 획을 휘감는 바람으로, 안쪽을 빙빙 도는 바람의 눈으로 기억하자.|強風(강풍): 강한(強) 바람(風).|風車(풍차): 바람(風)의 힘으로 돌아가는 바퀴 장치(車).|a giant swirling white and turquoise whirlwind
7|굵은 빗방울|雨 안의 네 점에 주목하자. 구름 아래 빗방울이 뚝뚝 떨어진다, 비 우!|雨傘(우산): 비(雨)를 막는 우산(傘).|降雨(강우): 비(雨)가 내림(降).|a compact dark cloud pouring oversized blue raindrops
8|세 봉우리 산|山의 세로획 셋을 산봉우리 셋에 연결하자. 가운데 봉우리가 가장 높다, 메 산!|登山(등산): 산(山)에 오름(登).|火山(화산): 불(火)과 관련된 분출 활동을 하는 산(山).|a dramatic emerald mountain with three sharp peaks
9|깊게 팬 골짜기|谷 위쪽은 양옆 비탈, 아래 口는 골짜기 입구라고 상상하자. 산 사이 움푹한 골!|溪谷(계곡): 시내(溪)가 흐르는 골짜기(谷).|山谷(산곡): 산(山) 사이 골짜기(谷).|a deep narrow jade canyon cut into a miniature rock
10|둥근 풀 언덕|阜의 층진 윗부분을 언덕의 턱으로 보자. 산처럼 뾰족하지 않은 둥근 언덕 부!|丘阜(구부): 언덕 구(丘)와 언덕 부(阜), 언덕을 뜻하는 문어.|曲阜(곡부): 중국의 지명. 阜의 음 부를 확인한다.|a rounded lush green hill with terraced sides
11|언덕 옆 계단|글자 왼쪽의 阝는 阜가 줄어든 모양. 왼쪽 언덕을 올라가고, 오른쪽 阝는 고을과 구별하자.|階段(계단): 階의 왼쪽 阝가 언덕 부수. 높낮이를 잇는 계단.|陸地(육지): 陸의 왼쪽 阝가 땅과 관련된 뜻을 돕는다.|a steep green hillside shaped like two rounded steps
12|거친 회색 바위|石 위쪽을 바위 비탈, 아래 口를 툭 떨어진 돌덩이로 연결하자. 쿵, 돌 석!|石塔(석탑): 돌(石)로 만든 탑(塔).|寶石(보석): 보배로운(寶) 돌(石).|a massive rough gray boulder with moss and facets
13|촉촉한 흙더미|土의 아래 긴 획은 땅, 위 十은 흙에서 솟은 싹으로 상상하자. 밑이 넓은 흙 토!|土地(토지): 흙(土)으로 된 땅(地).|粘土(점토): 끈끈한(粘) 성질의 흙(土).|a rich brown mound of soil with crisp granules
14|번쩍이는 금속 덩어리|金의 지붕 아래 반짝이는 두 점을 금속의 광택으로 잡자. 금도 쇠도 금속, 쇠 금!|金屬(금속): 금(金)과 같은 성질의 물질 무리(屬).|黃金(황금): 누런(黃) 금(金).|a huge polished golden metal nugget
15|빛나는 초록 옥구슬|王에 점 하나가 붙으면 玉. 왕의 옷에 달린 옥구슬 한 알이라고 연결하자.|玉石(옥석): 옥(玉)과 돌(石), 좋은 것과 나쁜 것의 비유.|玉器(옥기): 옥(玉)으로 만든 그릇이나 기물(器).|a translucent emerald jade bead with a bright highlight
16|성벽 안 고을|邑의 口를 고을의 테두리, 아래를 그 안의 사람으로 상상하자. 사람이 모여 사는 고을 읍!|邑內(읍내): 읍(邑)의 안(內), 중심 시가지.|邑長(읍장): 읍(邑)의 행정을 맡는 우두머리(長).|a tiny walled Korean town sculpted as one miniature
17|바둑판 마을|里 위의 칸을 집터, 아래 획을 마을 땅으로 보자. 같은 땅에 모여 사는 마을 리!|洞里(동리): 동네(洞)와 마을(里).|里長(이장): 마을(里)의 일을 맡는 대표(長).|a compact warm terracotta village on a square base
18|네 칸 밭|田을 십자 길로 나눈 네 칸 밭에 연결하자. 네모 안 십자, 밭 전!|田園(전원): 밭(田)과 동산(園), 농촌의 풍경.|水田(수전): 물(水)을 대어 농사짓는 논(田).|a square green farm plot divided into four neat fields
19|반짝이는 소금밭|鹵 안의 작은 표시들을 하얀 소금 결정으로 상상하자. 밭에서 소금이 반짝, 소금밭 로!|鹵田(노전): 소금기 있는 밭. 일상에서는 염전이라는 말을 더 많이 쓴다.|鹽田(염전): 鹽 안에 鹵 모양이 보인다. 소금을 얻는 밭.|a rectangular salt pan sparkling with white crystals
20|튀어 오르는 물기둥|水의 가운데는 물줄기, 양옆은 튀는 물방울로 보자. 사방으로 촤악, 물 수!|水道(수도): 물(水)이 지나가는 길(道), 물 공급 시설.|生水(생수): 마실 수 있도록 공급하는 물(水). 生은 날것·그대로의 의미를 보탠다.|a crystal clear water splash rising in a tall curve
21|세 방울 물|氵는 水가 왼쪽에서 바뀐 부수. 세 방울이면 삼수변, 물과 관련된 뜻의 단서를 찾자.|海水(해수): 海의 氵를 찾자. 바다(海)의 물(水).|河川(하천): 河의 氵를 찾자. 강(河)과 내(川).|three oversized bright blue water droplets in a vertical arc
